lock,threads,run,iterations,exec_ns,total_bids,final_highest_bid,final_highest_bidder,mean_wait_ns,p99_wait_ns,max_wait_ns,finish_spread_ns,jain_first_half,bids_won_per_bidder,bids_won_first_half_per_bidder
CLH,16,1,1000,10480666009,16000,16000,15,7034102.0,32088191,68138656,10480496260,0.6430,1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000,1000;1000;1000;792;1000;308;833;743;338;142;142;141;141;140;140;140
CLH,16,2,1000,27397867895,16000,16000,13,24199786.5,84971831,224736621,27397500351,0.8572,1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000,1000;981;552;553;552;552;552;363;363;362;362;362;362;362;361;361
CLH,16,3,1000,4466352,16000,16000,14,1474.5,2011,956266,3704760,0.5000,1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000,1000;1000;1000;1000;1000;1000;1000;1000;0;0;0;0;0;0;0;0
CLH,16,4,1000,14441404844,16000,16000,15,9029402.4,75842780,302784084,14441184230,0.6169,1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000,1000;1000;1000;1000;1000;1000;384;382;154;155;155;155;154;154;154;153
CLH,16,5,1000,46881433,16000,16000,2,15420.5,1400,23159477,46632222,0.5000,1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000,1000;1000;0;1000;1000;1000;0;1000;1000;1000;0;0;0;0;0;0
MCS,2,1,1000,4873850,2000,2000,0,3098.4,36705,1312280,289643,0.9997,1000;1000,509;491
MCS,2,2,1000,1662790,2000,2000,1,966.0,11276,242749,5687,0.9999,1000;1000,504;496
MCS,2,3,1000,1371110,2000,2000,1,517.3,774,28570,110606,0.9719,1000;1000,585;415
MCS,2,4,1000,520826,2000,2000,0,205.9,331,29848,24521,0.9916,1000;1000,454;546
MCS,2,5,1000,2239342,2000,2000,0,364.4,832,76807,1421286,0.9403,1000;1000,374;626
MCS,4,1,1000,1741775,4000,4000,3,469.8,1000,47155,886158,0.6065,1000;1000;1000;1000,791;1000;130;79
MCS,4,2,1000,1637176,4000,4000,3,275.9,626,191864,1141002,0.6180,1000;1000;1000;1000,1000;743;257;0
MCS,4,3,1000,1066302,4000,4000,3,753.7,894,140675,9645,0.9964,1000;1000;1000;1000,517;518;517;448
MCS,4,4,1000,918642,4000,4000,3,469.7,801,28730,333959,0.8107,1000;1000;1000;1000,910;441;338;311
MCS,4,5,1000,876467,4000,4000,3,448.8,665,45026,642416,0.7475,1000;1000;1000;1000,1000;374;344;282
MCS,8,1,1000,1452730,8000,8000,7,869.0,1092,64164,773577,0.8286,1000;1000;1000;1000;1000;1000;1000;1000,1000;634;605;458;412;325;295;271
MCS,8,2,1000,1146971,8000,8000,7,608.4,897,72823,895310,0.8160,1000;1000;1000;1000;1000;1000;1000;1000,1000;695;568;467;423;349;285;213
MCS,8,3,1000,3834911,8000,8000,7,424.0,913,478094,3641385,0.5342,1000;1000;1000;1000;1000;1000;1000;1000,1000;1000;1000;849;151;0;0;0
MCS,8,4,1000,1630199,8000,8000,6,968.2,1292,34679,924891,0.7627,1000;1000;1000;1000;1000;1000;1000;1000,1000;807;562;460;404;397;20;350
MCS,8,5,1000,1141748784,8000,8000,6,1139980.0,15009430,45040571,408735,0.9213,1000;1000;1000;1000;1000;1000;1000;1000,760;692;585;427;384;384;384;384
MCS,16,1,1000,5337973,16000,16000,15,1734.1,6361,811021,4303675,0.5468,1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000,1000;1000;975;1000;938;895;888;873;358;73;0;0;0;0;0;0
MCS,16,2,1000,8149556,16000,16000,12,2715.0,1645,3334299,7834205,0.5860,1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000,1000;1000;1000;999;858;731;721;709;697;209;76;0;0;0;0;0
MCS,16,3,1000,849284074,16000,16000,15,517864.0,8267598,27268558,849090965,0.5606,1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000,1000;1000;1000;1000;909;843;767;749;667;63;2;0;0;0;0;0
MCS,16,4,1000,4535453,16000,16000,15,1019.6,1235,1160682,3954787,0.5270,1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000,1000;1000;1000;1000;247;1000;925;948;880;0;0;0;0;0;0;0
MCS,16,5,1000,6412667,16000,16000,11,1082.9,1409,4290505,6029461,0.5227,1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000,1000;1000;1000;1000;1000;989;914;893;204;0;0;0;0;0;0;0
